kernel                                                 instr   loads     ds     mac   vgpr  th_max     smem
vec_amd_dk512_kq4_0_vq4_0_w64_wg32                      1104      13      8      70    200     576    33152
vec_amd_dk512_kq4_0_vq4_0_wg32                          1084      13      8      70    200     576    33152
vec_amd_dk512_kq4_0_vq8_0                               1043      25      8      57    187     512    33152
vec_amd_dk512_kq4_0_vq8_0_w64                           1061      25      8      57    187     512    33152
vec_amd_dk512_kq4_0_vq8_0_w64_wg32                      1103      25      8      54    200     512    33152
vec_amd_dk512_kq4_0_vq8_0_wg32                          1094      25      8      54    200     512    33152
vec_amd_dk512_kq8_0_vf16                                 926      21      8      45    187     576    33152
vec_amd_dk512_kq8_0_vf16_w64                             950      21      8      43    187     576    33152
vec_amd_dk512_kq8_0_vf16_w64_wg32                        961      21      8      40    187     576    33152
vec_amd_dk512_kq8_0_vf16_wg32                            943      21      8      40    187     576    33152
vec_amd_dk512_kq8_0_vq4_0                               1045      25      8      57    187     576    33152
vec_amd_dk512_kq8_0_vq4_0_w64                           1055      25      8      57    187     576    33152
vec_amd_dk512_kq8_0_vq4_0_w64_wg32                      1097      25      8      54    200     576    33152
vec_amd_dk512_kq8_0_vq4_0_wg32                          1088      25      8      54    200     576    33152
vec_amd_dk512_kq8_0_vq8_0                                966      37      8      41    187     576    33152
vec_amd_dk512_kq8_0_vq8_0_w64                            983      37      8      41    187     576    33152
vec_amd_dk512_kq8_0_vq8_0_w64_wg32                      1036      37      8      38    200     576    33152
vec_amd_dk512_kq8_0_vq8_0_wg32                          1001      37      8      38    200     576    33152
vec_amd_dk512_kq8_0_vturbo2                             1021      41      8      42    232     576    33152
vec_amd_dk512_kq8_0_vturbo2_w64                         1037      41      8      43    232     576    33152
vec_amd_dk512_kq8_0_vturbo2_w64_wg32                    1090      41      8      39    232     576    33152
vec_amd_dk512_kq8_0_vturbo2_wg32                        1057      41      8      39    232     576    33152
vec_amd_dk512_kq8_0_vturbo3                             1065      45      8      42    248     512    33152
vec_amd_dk512_kq8_0_vturbo3_w64                         1075      45      8      43    248     512    33152
vec_amd_dk512_kq8_0_vturbo3_w64_wg32                    1136      45      8      39    248     576    33152
vec_amd_dk512_kq8_0_vturbo3_wg32                        1109      45      8      39    248     576    33152
vec_amd_dk512_kq8_0_vturbo4                             1031      45      8      42    252     576    33152
vec_amd_dk512_kq8_0_vturbo4_w64                         1045      45      8      43    252     576    33152
vec_amd_dk512_kq8_0_vturbo4_w64_wg32                    1084      45      8      39    252     576    33152
vec_amd_dk512_kq8_0_vturbo4_wg32                        1065      45      8      39    252     576    33152
vec_amd_dk512_kturbo2_vf16                               984      25      8      47    232     576    33152
vec_amd_dk512_kturbo2_vf16_w64                          1013      25      8      45    232     576    33152
vec_amd_dk512_kturbo2_vf16_w64_wg32                     1009      25      8      42    232     576    33152
vec_amd_dk512_kturbo2_vf16_wg32                          993      25      8      42    232     576    33152
vec_amd_dk512_kturbo2_vq8_0                             1028      41      8      42    232     576    33152
vec_amd_dk512_kturbo2_vq8_0_w64                         1046      41      8      42    232     576    33152
vec_amd_dk512_kturbo2_vq8_0_w64_wg32                    1100      41      8      38    232     576    33152
vec_amd_dk512_kturbo2_vq8_0_wg32                        1059      41      8      38    232     576    33152
vec_amd_dk512_kturbo2_vturbo2                           1075      45      8      38    232     576    33152
vec_amd_dk512_kturbo2_vturbo2_w64                       1082      45      8      38    232     576    33152
vec_amd_dk512_kturbo2_vturbo2_w64_wg32                  1152      45      8      42    232     576    33152
vec_amd_dk512_kturbo2_vturbo2_wg32                      1130      45      8      44    232     576    33152
vec_amd_dk512_kturbo2_vturbo3                           1116      49      8      42    248     576    33152
vec_amd_dk512_kturbo2_vturbo3_w64                       1142      49      8      42    248     576    33152
vec_amd_dk512_kturbo2_vturbo3_w64_wg32                  1189      49      8      38    248     576    33152
vec_amd_dk512_kturbo2_vturbo3_wg32                      1155      49      8      38    248     576    33152
vec_amd_dk512_kturbo2_vturbo4                           1065      49      8      42    252     576    33152
vec_amd_dk512_kturbo2_vturbo4_w64                       1090      49      8      42    252     576    33152
vec_amd_dk512_kturbo2_vturbo4_w64_wg32                  1137      49      8      38    252     576    33152
vec_amd_dk512_kturbo2_vturbo4_wg32                      1126      49      8      38    252     576    33152
vec_amd_dk512_kturbo3_vf16                              1035      29      8      45    248     576    33152
vec_amd_dk512_kturbo3_vf16_w64                          1049      29      8      43    248     576    33152
vec_amd_dk512_kturbo3_vf16_w64_wg32                     1064      29      8      42    248     576    33152
vec_amd_dk512_kturbo3_vf16_wg32                         1045      29      8      42    248     576    33152
vec_amd_dk512_kturbo3_vq8_0                             1072      45      8      42    248     576    33152
vec_amd_dk512_kturbo3_vq8_0_w64                         1093      45      8      42    248     576    33152
vec_amd_dk512_kturbo3_vq8_0_w64_wg32                    1147      45      8      38    248     576    33152
vec_amd_dk512_kturbo3_vq8_0_wg32                        1118      45      8      38    248     576    33152
vec_amd_dk512_kturbo3_vturbo2                           1125      49      8      42    248     576    33152
vec_amd_dk512_kturbo3_vturbo2_w64                       1143      49      8      42    248     576    33152
vec_amd_dk512_kturbo3_vturbo2_w64_wg32                  1189      49      8      38    248     576    33152
vec_amd_dk512_kturbo3_vturbo2_wg32                      1171      49      8      38    248     576    33152
vec_amd_dk512_kturbo3_vturbo3                           1154      53      8      40    248     576    33152
vec_amd_dk512_kturbo3_vturbo3_w64                       1174      53      8      40    248     576    33152
vec_amd_dk512_kturbo3_vturbo3_w64_wg32                  1242      53      8      45    248     576    33152
vec_amd_dk512_kturbo3_vturbo3_wg32                      1220      53      8      46    248     576    33152
vec_amd_dk512_kturbo3_vturbo4                           1120      53      8      42    252     576    33152
vec_amd_dk512_kturbo3_vturbo4_w64                       1152      53      8      42    252     576    33152
vec_amd_dk512_kturbo3_vturbo4_w64_wg32                  1191      53      8      38    252     576    33152
vec_amd_dk512_kturbo3_vturbo4_wg32                      1164      53      8      38    252     576    33152
vec_amd_dk512_kturbo4_vf16                               970      29      8      45    252     576    33152
vec_amd_dk512_kturbo4_vf16_w64                          1014      29      8      44    252     576    33152
vec_amd_dk512_kturbo4_vf16_w64_wg32                     1015      29      8      42    252     576    33152
vec_amd_dk512_kturbo4_vf16_wg32                          999      29      8      42    252     576    33152
vec_amd_dk512_kturbo4_vq8_0                             1028      45      8      42    252     576    33152
vec_amd_dk512_kturbo4_vq8_0_w64                         1053      45      8      42    252     576    33152
vec_amd_dk512_kturbo4_vq8_0_w64_wg32                    1098      45      8      38    252     576    33152
vec_amd_dk512_kturbo4_vq8_0_wg32                        1074      45      8      38    252     576    33152
vec_amd_dk512_kturbo4_vturbo2                           1070      49      8      42    252     576    33152
vec_amd_dk512_kturbo4_vturbo2_w64                       1088      49      8      42    252     576    33152
vec_amd_dk512_kturbo4_vturbo2_w64_wg32                  1141      49      8      38    252     576    33152
vec_amd_dk512_kturbo4_vturbo2_wg32                      1132      49      8      38    252     576    33152
vec_amd_dk512_kturbo4_vturbo3                           1116      53      8      42    252     576    33152
vec_amd_dk512_kturbo4_vturbo3_w64                       1144      53      8      42    252     576    33152
vec_amd_dk512_kturbo4_vturbo3_w64_wg32                  1190      53      8      38    252     576    33152
vec_amd_dk512_kturbo4_vturbo3_wg32                      1169      53      8      38    252     576    33152
vec_amd_dk512_kturbo4_vturbo4                           1054      53      8      39    252     576    33152
vec_amd_dk512_kturbo4_vturbo4_w64                       1067      53      8      39    252     576    33152
vec_amd_dk512_kturbo4_vturbo4_w64_wg32                  1133      53      8      44    252     576    33152
vec_amd_dk512_kturbo4_vturbo4_wg32                      1105      53      8      43    252     576    33152
vec_amd_dk576_dv512_kf16_vf16                            880       6      8      43    187     640    33152
vec_amd_dk576_dv512_kf16_vf16_w64                        776       4      6      29    187    1024    16576
vec_amd_dk576_dv512_kf16_vf16_w64_wg32                   812       4      6      26    200    1024    16576
vec_amd_dk576_dv512_kf16_vf16_wg32                       902       6      8      40    200     640    33152
vec_amd_dk576_dv512_kq8_0_vq8_0                         1030      42      8      42    230     640    33152
vec_amd_dk576_dv512_kq8_0_vq8_0_w64                      874      24      6      28    187    1024    16576
vec_amd_dk576_dv512_kq8_0_vq8_0_w64_wg32                 935      24      6      32    187    1024    16576
vec_amd_dk576_dv512_kq8_0_vq8_0_wg32                    1096      42      8      45    187     640    33152
vec_amd_dk640_kf16_vturbo2                              1051      31      9      53    232     512    41344
vec_amd_dk640_kf16_vturbo2_w64                          1075      31      9      51    232     512    41344
vec_amd_dk640_kf16_vturbo3                              1115      36      9      50    248     512    41344
vec_amd_dk640_kf16_vturbo3_w64                          1149      36      9      55    248     576    41344
vec_amd_dk640_kf16_vturbo4                              1054      36      9      50    252     512    41344
vec_amd_dk640_kf16_vturbo4_w64                          1066      37      9      51    252     512    41344
vec_amd_dk640_kq8_0_vturbo2                             1108      51      9      49    232     512    41344
vec_amd_dk640_kq8_0_vturbo2_w64                         1122      51      9      50    232     512    41344
vec_amd_dk640_kq8_0_vturbo3                             1189      56      9      49    248     640    41344
vec_amd_dk640_kq8_0_vturbo3_w64                         1192      56      9      50    248     576    41344
vec_amd_dk640_kq8_0_vturbo4                             1108      56      9      49    252     512    41344
vec_amd_dk640_kq8_0_vturbo4_w64                         1120      56      9      50    252     512    41344
vec_amd_dk640_kturbo2_vf16                              1057      31      9      54    232     512    41344
vec_amd_dk640_kturbo2_vf16_w64                          1066      31      9      50    232     512    41344
vec_amd_dk640_kturbo2_vq8_0                             1101      51      9      49    232     512    41344
vec_amd_dk640_kturbo2_vq8_0_w64                         1133      51      9      49    232     512    41344
vec_amd_dk640_kturbo2_vturbo2                           1161      56      9      48    232     512    41344
vec_amd_dk640_kturbo2_vturbo2_w64                       1180      56      9      48    232     512    41344
vec_amd_dk640_kturbo2_vturbo3                           1225      61      9      49    248     512    41344
vec_amd_dk640_kturbo2_vturbo3_w64                       1260      61      9      49    248     640    41344
vec_amd_dk640_kturbo2_vturbo4                           1166      61      9      49    252     512    41344
vec_amd_dk640_kturbo2_vturbo4_w64                       1183      61      9      49    252     512    41344
vec_amd_dk640_kturbo3_vf16                              1102      36      9      51    248     512    41344
vec_amd_dk640_kturbo3_vf16_w64                          1149      36      9      51    248     448    41344
vec_amd_dk640_kturbo3_vq8_0                             1165      56      9      49    248     512    41344
vec_amd_dk640_kturbo3_vq8_0_w64                         1191      56      9      49    248     576    41344
vec_amd_dk640_kturbo3_vturbo2                           1225      61      9      49    248     512    41344
vec_amd_dk640_kturbo3_vturbo2_w64                       1241      61      9      49    248     512    41344
vec_amd_dk640_kturbo3_vturbo3                           1265      66      9      48    248     512    41344
vec_amd_dk640_kturbo3_vturbo3_w64                       1324      66      9      47    248     640    41344
vec_amd_dk640_kturbo3_vturbo4                           1222      66      9      49    252     512    41344
vec_amd_dk640_kturbo3_vturbo4_w64                       1247      66      9      49    252     512    41344
vec_amd_dk640_kturbo4_vf16                              1068      36      9      51    252     512    41344
vec_amd_dk640_kturbo4_vf16_w64                          1071      37      9      51    252     448    41344
vec_amd_dk640_kturbo4_vq8_0                             1112      56      9      49    252     512    41344
vec_amd_dk640_kturbo4_vq8_0_w64                         1130      56      9      49    252     576    41344
vec_amd_dk640_kturbo4_vturbo2                           1170      61      9      49    252     512    41344
vec_amd_dk640_kturbo4_vturbo2_w64                       1182      61      9      49    252     512    41344
vec_amd_dk640_kturbo4_vturbo3                           1229      66      9      49    252     512    41344
vec_amd_dk640_kturbo4_vturbo3_w64                       1256      66      9      49    252     576    41344
vec_amd_dk640_kturbo4_vturbo4                           1135      66      9      45    252     512    41344
vec_amd_dk640_kturbo4_vturbo4_w64                       1153      66      9      47    252     512    41344
vec_amd_dk64_kf16_vf16                                   865       3     16      35    200    1024    35840
vec_amd_dk64_kf16_vf16_w64                               796       3     10      27    200    1024    35840
vec_amd_dk64_kf16_vq4_0                                  884       5     13      42    187    1024    26880
vec_amd_dk64_kf16_vq4_0_w64                              852       5     10      36    200    1024    35840
vec_amd_dk64_kf16_vq8_0                                  898      11     16      36    200    1024    35840
vec_amd_dk64_kf16_vq8_0_w64                              838      11     10      28    216    1024    35840
vec_amd_dk64_kq4_0_vf16                                  890       5     13      42    187     768    26880
vec_amd_dk64_kq4_0_vf16_w64                              850       5     10      36    200     768    35840
vec_amd_dk64_kq4_0_vq4_0                                 942       7     13      52    187    1024    26880
vec_amd_dk64_kq4_0_vq4_0_w64                             914       9     10      49    187    1024    35840
vec_amd_dk64_kq4_0_vq8_0                                 946      13     13      44    187     768    26880
vec_amd_dk64_kq4_0_vq8_0_w64                             907      13     10      40    187     768    35840
vec_amd_dk64_kq8_0_vf16                                  896      11     16      36    200    1024    35840
vec_amd_dk64_kq8_0_vf16_w64                              836      11     10      28    216     768    35840
vec_amd_dk64_kq8_0_vq4_0                                 935      13     13      44    187    1024    26880
vec_amd_dk64_kq8_0_vq4_0_w64                             906      13     10      40    187    1024    35840
vec_amd_dk64_kq8_0_vq8_0                                 948      19     16      39    192    1024    35840
vec_amd_dk64_kq8_0_vq8_0_w64                             879      19     10      35    187    1024    35840
vec_amd_dk72_kf16_vf16                                   821       3     10      28    201    1024    19968
vec_amd_dk72_kf16_vf16_w64                               775       3      6      23    201    1024    19968
