kernel                                                 instr   loads     ds     mac   vgpr  th_max     smem
vec_amd_dk128_kf16_vturbo3_w64                          1036      29      8      45    248     512    34304
vec_amd_dk128_kf16_vturbo3_wg32                         1089      29     12      46    248     512    34304
vec_amd_dk128_kf16_vturbo4                              1052      29     12      49    252     576    34304
vec_amd_dk128_kf16_vturbo4_w64                          1013      29      8      46    252     576    34304
vec_amd_dk128_kf16_vturbo4_wg32                         1054      29     12      46    252     576    34304
vec_amd_dk128_kq4_0_vf16                                 890       5     10      41    187     768    25728
vec_amd_dk128_kq4_0_vf16_w64                             953       9      8      61    187     576    34304
vec_amd_dk128_kq4_0_vq4_0                                911       7     10      47    187     768    25728
vec_amd_dk128_kq4_0_vq4_0_w64                            983      13      8      73    187     640    34304
vec_amd_dk128_kq4_0_vq8_0                                918      13     10      39    187     768    25728
vec_amd_dk128_kq4_0_vq8_0_w64                            961      25      8      57    187     576    34304
vec_amd_dk128_kq8_0_vf16                                 951      21     12      48    187     576    34304
vec_amd_dk128_kq8_0_vf16_w64                             923      21      8      46    187     576    34304
vec_amd_dk128_kq8_0_vq4_0                               1013      25     12      61    187     640    34304
vec_amd_dk128_kq8_0_vq4_0_w64                            963      25      8      57    187     576    34304
vec_amd_dk128_kq8_0_vq8_0                                992      37     12      45    187     576    34304
vec_amd_dk128_kq8_0_vq8_0_w64                            944      37      8      41    187     576    34304
vec_amd_dk128_kq8_0_vturbo2                             1056      41     12      46    232     576    34304
vec_amd_dk128_kq8_0_vturbo2_w64                         1006      41      8      43    232     576    34304
vec_amd_dk128_kq8_0_vturbo2_wg32                        1080      41     12      43    232     576    34304
vec_amd_dk128_kq8_0_vturbo3                             1096      45     12      46    248     512    34304
vec_amd_dk128_kq8_0_vturbo3_w64                         1053      45      8      43    248     512    34304
vec_amd_dk128_kq8_0_vturbo3_wg32                        1144      45     12      43    248     512    34304
vec_amd_dk128_kq8_0_vturbo4                             1068      45     12      46    252     576    34304
vec_amd_dk128_kq8_0_vturbo4_w64                         1028      45      8      43    252     576    34304
vec_amd_dk128_kq8_0_vturbo4_wg32                        1119      45     12      43    252     576    34304
vec_amd_dk128_kturbo2_vf16                              1030      25     12      48    232     576    34304
vec_amd_dk128_kturbo2_vf16_w64                           983      25      8      44    232     576    34304
vec_amd_dk128_kturbo2_vf16_wg32                         1033      25     12      46    232     576    34304
vec_amd_dk128_kturbo2_vq8_0                             1053      41     12      46    232     576    34304
vec_amd_dk128_kturbo2_vq8_0_w64                         1015      41      8      42    232     576    34304
vec_amd_dk128_kturbo2_vq8_0_wg32                        1097      41     12      42    232     576    34304
vec_amd_dk128_kturbo2_vturbo2                           1108      45     12      42    240     576    34304
vec_amd_dk128_kturbo2_vturbo2_w64                       1063      45      8      38    232     576    34304
vec_amd_dk128_kturbo2_vturbo2_wg32                      1157      45     12      48    232     576    34304
vec_amd_dk128_kturbo2_vturbo3                           1164      49     12      46    248     576    34304
vec_amd_dk128_kturbo2_vturbo3_w64                       1123      49      8      42    248     512    34304
vec_amd_dk128_kturbo2_vturbo3_wg32                      1210      49     12      42    248     576    34304
vec_amd_dk128_kturbo2_vturbo4                           1135      49     12      46    252     576    34304
vec_amd_dk128_kturbo2_vturbo4_w64                       1097      49      8      42    252     576    34304
vec_amd_dk128_kturbo2_vturbo4_wg32                      1188      49     12      42    252     576    34304
vec_amd_dk128_kturbo3_vf16                              1067      29     12      52    248     576    34304
vec_amd_dk128_kturbo3_vf16_w64                          1039      29      8      44    248     512    34304
vec_amd_dk128_kturbo3_vf16_wg32                         1098      29     12      46    248     512    34304
vec_amd_dk128_kturbo3_vq8_0                             1102      45     12      46    248     512    34304
vec_amd_dk128_kturbo3_vq8_0_w64                         1063      45      8      42    248     512    34304
vec_amd_dk128_kturbo3_vq8_0_wg32                        1162      45     12      42    248     512    34304
vec_amd_dk128_kturbo3_vturbo2                           1141      49     12      46    248     576    34304
vec_amd_dk128_kturbo3_vturbo2_w64                       1126      49      8      42    248     576    34304
vec_amd_dk128_kturbo3_vturbo2_wg32                      1202      49     12      42    248     576    34304
vec_amd_dk128_kturbo3_vturbo3                           1203      53     12      46    248     576    34304
vec_amd_dk128_kturbo3_vturbo3_w64                       1155      53      8      40    248     512    34304
vec_amd_dk128_kturbo3_vturbo3_wg32                      1270      53     12      51    248     576    34304
vec_amd_dk128_kturbo3_vturbo4                           1185      53     12      46    252     512    34304
vec_amd_dk128_kturbo3_vturbo4_w64                       1150      53      8      42    252     512    34304
vec_amd_dk128_kturbo3_vturbo4_wg32                      1239      53     12      42    252     512    34304
vec_amd_dk128_kturbo4_vf16                              1052      29     12      49    252     640    34304
vec_amd_dk128_kturbo4_vf16_w64                          1019      29      8      46    252     576    34304
vec_amd_dk128_kturbo4_vf16_wg32                         1064      29     12      46    252     576    34304
vec_amd_dk128_kturbo4_vq8_0                             1086      45     12      46    252     576    34304
vec_amd_dk128_kturbo4_vq8_0_w64                         1039      45      8      42    252     576    34304
vec_amd_dk128_kturbo4_vq8_0_wg32                        1113      45     12      42    252     576    34304
vec_amd_dk128_kturbo4_vturbo2                           1136      49     12      46    252     576    34304
vec_amd_dk128_kturbo4_vturbo2_w64                       1090      49      8      42    252     576    34304
vec_amd_dk128_kturbo4_vturbo2_wg32                      1180      49     12      42    252     576    34304
vec_amd_dk128_kturbo4_vturbo3                           1198      53     12      46    252     512    34304
vec_amd_dk128_kturbo4_vturbo3_w64                       1161      53      8      42    252     512    34304
vec_amd_dk128_kturbo4_vturbo3_wg32                      1234      53     12      42    252     512    34304
vec_amd_dk128_kturbo4_vturbo4                           1136      53     12      42    252     576    34304
vec_amd_dk128_kturbo4_vturbo4_w64                       1090      53      8      38    252     576    34304
vec_amd_dk128_kturbo4_vturbo4_wg32                      1201      53     12      51    252     576    34304
vec_amd_dk256_kf16_vf16                                  847       5      8      38    244     576    33536
vec_amd_dk256_kf16_vf16_w64                              848       5      8      38    244     576    33536
vec_amd_dk256_kf16_vf16_w64_wg32                         912       5      8      41    187     576    33536
vec_amd_dk256_kf16_vf16_wg32                             912       5      8      41    187     576    33536
vec_amd_dk256_kf16_vq4_0                                 997       9      8      62    187     576    33536
vec_amd_dk256_kf16_vq4_0_w64                             998       9      8      62    187     576    33536
vec_amd_dk256_kf16_vq4_0_w64_wg32                       1000       9      8      56    187     640    33536
vec_amd_dk256_kf16_vq4_0_wg32                            999       9      8      56    187     640    33536
vec_amd_dk256_kf16_vq8_0                                 954      21      8      44    187     576    33536
vec_amd_dk256_kf16_vq8_0_w64                             955      21      8      44    187     576    33536
vec_amd_dk256_kf16_vq8_0_w64_wg32                        953      21      8      40    187     576    33536
vec_amd_dk256_kf16_vq8_0_wg32                            952      21      8      40    187     576    33536
vec_amd_dk256_kf16_vturbo2                               972      25      8      46    232     576    33536
vec_amd_dk256_kf16_vturbo2_w64                           973      25      8      46    232     576    33536
vec_amd_dk256_kf16_vturbo2_w64_wg32                      988      25      8      42    232     576    33536
vec_amd_dk256_kf16_vturbo2_wg32                          987      25      8      42    232     576    33536
vec_amd_dk256_kf16_vturbo3                              1032      29      8      49    248     576    33536
vec_amd_dk256_kf16_vturbo3_w64                          1033      29      8      49    248     576    33536
vec_amd_dk256_kf16_vturbo3_w64_wg32                     1034      29      8      42    248     576    33536
vec_amd_dk256_kf16_vturbo3_wg32                         1033      29      8      42    248     576    33536
vec_amd_dk256_kf16_vturbo4                              1015      29      8      44    252     576    33536
vec_amd_dk256_kf16_vturbo4_w64                          1016      29      8      44    252     576    33536
vec_amd_dk256_kf16_vturbo4_w64_wg32                     1008      29      8      42    252     576    33536
vec_amd_dk256_kf16_vturbo4_wg32                         1007      29      8      42    252     576    33536
vec_amd_dk256_kq4_0_vf16                                 998       9      8      62    187     576    33536
vec_amd_dk256_kq4_0_vf16_w64                             999       9      8      62    187     576    33536
vec_amd_dk256_kq4_0_vf16_w64_wg32                       1005       9      8      56    187     576    33536
vec_amd_dk256_kq4_0_vf16_wg32                           1004       9      8      56    187     576    33536
vec_amd_dk256_kq4_0_vq4_0                               1052      13      8      73    187     576    33536
vec_amd_dk256_kq4_0_vq4_0_w64                           1052      13      8      73    187     576    33536
vec_amd_dk256_kq4_0_vq4_0_w64_wg32                      1096      13      8      70    200     576    33536
vec_amd_dk256_kq4_0_vq4_0_wg32                          1095      13      8      70    200     576    33536
vec_amd_dk256_kq4_0_vq8_0                               1059      25      8      57    187     512    33536
vec_amd_dk256_kq4_0_vq8_0_w64                           1059      25      8      57    187     512    33536
vec_amd_dk256_kq4_0_vq8_0_w64_wg32                      1094      25      8      54    200     512    33536
vec_amd_dk256_kq4_0_vq8_0_wg32                          1093      25      8      54    200     512    33536
vec_amd_dk256_kq8_0_vf16                                 951      21      8      45    187     576    33536
vec_amd_dk256_kq8_0_vf16_w64                             952      21      8      45    187     576    33536
vec_amd_dk256_kq8_0_vf16_w64_wg32                        952      21      8      40    187     576    33536
vec_amd_dk256_kq8_0_vf16_wg32                            951      21      8      40    187     576    33536
vec_amd_dk256_kq8_0_vq4_0                               1053      25      8      57    187     576    33536
vec_amd_dk256_kq8_0_vq4_0_w64                           1053      25      8      57    187     576    33536
vec_amd_dk256_kq8_0_vq4_0_w64_wg32                      1089      25      8      54    200     576    33536
vec_amd_dk256_kq8_0_vq4_0_wg32                          1088      25      8      54    200     576    33536
vec_amd_dk256_kq8_0_vq8_0                                973      37      8      41    187     576    33536
vec_amd_dk256_kq8_0_vq8_0_w64                            973      37      8      41    187     576    33536
vec_amd_dk256_kq8_0_vq8_0_w64_wg32                      1019      37      8      38    200     576    33536
vec_amd_dk256_kq8_0_vq8_0_wg32                          1018      37      8      38    200     576    33536
vec_amd_dk256_kq8_0_vturbo2                             1031      41      8      42    232     576    33536
vec_amd_dk256_kq8_0_vturbo2_w64                         1031      41      8      43    232     576    33536
vec_amd_dk256_kq8_0_vturbo2_w64_wg32                    1070      41      8      39    232     576    33536
vec_amd_dk256_kq8_0_vturbo2_wg32                        1069      41      8      39    232     576    33536
vec_amd_dk256_kq8_0_vturbo3                             1068      45      8      42    248     512    33536
vec_amd_dk256_kq8_0_vturbo3_w64                         1068      45      8      43    248     512    33536
vec_amd_dk256_kq8_0_vturbo3_w64_wg32                    1107      45      8      39    248     512    33536
vec_amd_dk256_kq8_0_vturbo3_wg32                        1106      45      8      39    248     512    33536
vec_amd_dk256_kq8_0_vturbo4                             1036      45      8      42    252     576    33536
vec_amd_dk256_kq8_0_vturbo4_w64                         1036      45      8      43    252     576    33536
vec_amd_dk256_kq8_0_vturbo4_w64_wg32                    1090      45      8      40    252     576    33536
vec_amd_dk256_kq8_0_vturbo4_wg32                        1089      45      8      40    252     576    33536
vec_amd_dk256_kturbo2_vf16                               988      25      8      44    232     576    33536
vec_amd_dk256_kturbo2_vf16_w64                           989      25      8      44    232     576    33536
vec_amd_dk256_kturbo2_vf16_w64_wg32                      996      25      8      42    232     576    33536
vec_amd_dk256_kturbo2_vf16_wg32                          995      25      8      42    232     576    33536
vec_amd_dk256_kturbo2_vq8_0                             1031      41      8      42    232     576    33536
vec_amd_dk256_kturbo2_vq8_0_w64                         1032      41      8      42    232     576    33536
vec_amd_dk256_kturbo2_vq8_0_w64_wg32                    1079      41      8      38    232     576    33536
vec_amd_dk256_kturbo2_vq8_0_wg32                        1078      41      8      38    232     576    33536
vec_amd_dk256_kturbo2_vturbo2                           1055      45      8      39    232     576    33536
vec_amd_dk256_kturbo2_vturbo2_w64                       1056      45      8      39    232     576    33536
vec_amd_dk256_kturbo2_vturbo2_w64_wg32                  1119      45      8      41    232     576    33536
vec_amd_dk256_kturbo2_vturbo2_wg32                      1118      45      8      41    232     576    33536
vec_amd_dk256_kturbo2_vturbo3                           1103      49      8      42    248     576    33536
vec_amd_dk256_kturbo2_vturbo3_w64                       1104      49      8      42    248     576    33536
vec_amd_dk256_kturbo2_vturbo3_w64_wg32                  1168      49      8      38    248     576    33536
vec_amd_dk256_kturbo2_vturbo3_wg32                      1167      49      8      38    248     576    33536
vec_amd_dk256_kturbo2_vturbo4                           1081      49      8      42    252     576    33536
vec_amd_dk256_kturbo2_vturbo4_w64                       1082      49      8      42    252     576    33536
vec_amd_dk256_kturbo2_vturbo4_w64_wg32                  1133      49      8      38    252     576    33536
vec_amd_dk256_kturbo2_vturbo4_wg32                      1132      49      8      38    252     576    33536
vec_amd_dk256_kturbo3_vf16                              1037      29      8      44    248     512    33536
vec_amd_dk256_kturbo3_vf16_w64                          1038      29      8      44    248     512    33536
vec_amd_dk256_kturbo3_vf16_w64_wg32                     1035      29      8      42    248     576    33536
vec_amd_dk256_kturbo3_vf16_wg32                         1034      29      8      42    248     576    33536
vec_amd_dk256_kturbo3_vq8_0                             1077      45      8      42    248     512    33536
vec_amd_dk256_kturbo3_vq8_0_w64                         1078      45      8      42    248     512    33536
vec_amd_dk256_kturbo3_vq8_0_w64_wg32                    1125      45      8      38    248     512    33536
vec_amd_dk256_kturbo3_vq8_0_wg32                        1124      45      8      38    248     512    33536
vec_amd_dk256_kturbo3_vturbo2                           1096      49      8      42    248     576    33536
vec_amd_dk256_kturbo3_vturbo2_w64                       1097      49      8      42    248     576    33536
